URL: https://www.idnes.cz/, Keywords: {'politika': 0, 'sport': 100, 'ekonomika': 31}, New Links: 439
URL: https://www.idnes.cz/sport, Keywords: {'politika': 0, 'sport': 358, 'ekonomika': 7}, New Links: 421
URL: https://www.idnes.cz/praha, Keywords: {'politika': 7, 'sport': 36, 'ekonomika': 17}, New Links: 272
URL: https://www.idnes.cz/praha, Keywords: {'politika': 7, 'sport': 35, 'ekonomika': 18}, New Links: 272
URL: https://www.expres.cz/celebrity/ornella-koktova-monika-binias-stiky-vanoce.A241219_170806_dx-celebrity_mksa, Keywords: {'politika': 1, 'sport': 10, 'ekonomika': 3}, New Links: 188
URL: https://www.mfdnes.cz/, Keywords: {'politika': 0, 'sport': 3, 'ekonomika': 0}, New Links: 64
URL: https://tv.idnes.cz/spolecnost/ty-smejd-mrnavej-fantom-hes-si-podat-souperi-ze-stardance.V241217_203127_idnestv_prr, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 32
URL: https://www.idnes.cz/sport/lyzovani-snowboarding, Keywords: {'politika': 0, 'sport': 179, 'ekonomika': 7}, New Links: 283
URL: https://tvprogram.idnes.cz/tvprogram.aspx?cat=sport, Keywords: {'politika': 0, 'sport': 192, 'ekonomika': 3}, New Links: 648
URL: https://www.idnes.cz/technet, Keywords: {'politika': 0, 'sport': 28, 'ekonomika': 8}, New Links: 290
