URL: https://www.idnes.cz/, Keywords: {'politika': 0, 'sport': 100, 'ekonomika': 29}, New Links: 439
URL: https://www.idnes.cz/premium/clanky, Keywords: {'politika': 0, 'sport': 39, 'ekonomika': 9}, New Links: 210
URL: https://www.idnes.cz/onadnes/moda/shrek-vzhled-bizarni-make-up-liceni-sexy-krasa.A241217_182413_modni-trendy_bib, Keywords: {'politika': 0, 'sport': 26, 'ekonomika': 6}, New Links: 232
URL: https://tools2.idnes.cz/captcha/Audio.aspx?id=29\42394, Keywords: {'politika': 0, 'sport': 0, 'ekonomika': 0}, New Links: 0
URL: https://www.idnes.cz/technet, Keywords: {'politika': 0, 'sport': 27, 'ekonomika': 12}, New Links: 290
URL: https://www.idnes.cz/zpravy/zahranicni/rusko-vladimir-putin-vyrocni-tiskova-konference-novinari.A241219_091010_zahranicni_kha, Keywords: {'politika': 6, 'sport': 25, 'ekonomika': 13}, New Links: 227
URL: https://www.idnes.cz/ostrava, Keywords: {'politika': 7, 'sport': 34, 'ekonomika': 11}, New Links: 263
URL: https://www.idnes.cz/sport/lyzovani-snowboarding, Keywords: {'politika': 0, 'sport': 179, 'ekonomika': 11}, New Links: 283
URL: https://reality.idnes.cz/s/prodej/pozemky/?ad=selfbox?ad=selfbox#utm_source=island.idnes&utm_medium=richtext&utm_content=self-box, Keywords: {'politika': 0, 'sport': 0, 'ekonomika': 0}, New Links: 168
URL: https://tv.idnes.cz/zive, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 32
