URL: https://www.idnes.cz/, Keywords: {'politika': 0, 'sport': 100, 'ekonomika': 29}, New Links: 439
URL: https://www.idnes.cz/zpravy/zahranicni/rusko-letoun-baltske-more-nadzvukove-strely-svedsko-nizozemi-rusko.A241218_171829_zahranicni_jhr, Keywords: {'politika': 7, 'sport': 25, 'ekonomika': 11}, New Links: 219
URL: https://instagram.com/idnescz/, Keywords: {'politika': 0, 'sport': 16, 'ekonomika': 0}, New Links: 0
URL: https://www.expres.cz/speed, Keywords: {'politika': 0, 'sport': 10, 'ekonomika': 0}, New Links: 84
URL: https://pocasi.idnes.cz/?d=dnes, Keywords: {'politika': 0, 'sport': 24, 'ekonomika': 6}, New Links: 245
URL: https://www.idnes.cz/zpravy/revue/spolecnost/lily-rose-depp-bratr-jack-vztah-s-rodici-detstvi-film-nosferatu.A241205_190643_lidicky_potu, Keywords: {'politika': 0, 'sport': 29, 'ekonomika': 6}, New Links: 227
URL: https://www.idnes.cz/zpravy/mediahub/vanoce-daruj-predplatne-idnes-premium.A241204_101551_mediahub_bhar, Keywords: {'politika': 7, 'sport': 25, 'ekonomika': 14}, New Links: 226
URL: https://www.idnes.cz/zpravy/archiv?idostrova=idnes, Keywords: {'politika': 9, 'sport': 40, 'ekonomika': 40}, New Links: 328
URL: https://tv.idnes.cz, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 55
URL: http://www.idnes.cz/, Keywords: {'politika': 0, 'sport': 100, 'ekonomika': 29}, New Links: 439
