URL: https://www.idnes.cz, Keywords: {'politika': 0, 'sport': 114, 'ekonomika': 18}, New Links: 442
URL: https://passmachine.eu, Keywords: {'politika': 0, 'sport': 4, 'ekonomika': 0}, New Links: 38
URL: https://www.idnes.cz/cestovani/po-cesku/ocima-sotouse-fotosoutez-zeleznice-lokomotivy-rady-t211-0-prasatko-fotografie.a241220_061927_po-cesku_hig, Keywords: {'politika': 0, 'sport': 25, 'ekonomika': 7}, New Links: 257
URL: https://www.expres.cz/video, Keywords: {'politika': 0, 'sport': 5, 'ekonomika': 0}, New Links: 37
URL: https://tvprogram.idnes.cz/tvprogram.aspx, Keywords: {'politika': 0, 'sport': 45, 'ekonomika': 5}, New Links: 671
URL: https://www.idnes.cz/zpravy/zahranicni/spanelsko-vrazda-google-street-view-vyreseni.a241219_150637_zahranicni_dtt, Keywords: {'politika': 6, 'sport': 25, 'ekonomika': 4}, New Links: 224
URL: https://www.idnes.cz/wiki/kultura/vanocni-pohadky.k457905, Keywords: {'politika': 9, 'sport': 35, 'ekonomika': 10}, New Links: 386
URL: https://www.idnes.cz/revue/modni-policie, Keywords: {'politika': 0, 'sport': 31, 'ekonomika': 6}, New Links: 270
URL: https://www.idnes.cz/zpravy/archiv/karavan.k481410, Keywords: {'politika': 7, 'sport': 30, 'ekonomika': 19}, New Links: 323
URL: https://www.expres.cz/video/celebrity/queen-queenie-petere-freestone.v241205_095740_denniexpres-video_haku, Keywords: {'politika': 0, 'sport': 5, 'ekonomika': 0}, New Links: 35
