URL: https://www.idnes.cz/, Keywords: {'politika': 0, 'sport': 100, 'ekonomika': 30}, New Links: 439
URL: https://www.idnes.cz/cestovani, Keywords: {'politika': 0, 'sport': 28, 'ekonomika': 10}, New Links: 304
URL: https://www.idnes.cz/kraje, Keywords: {'politika': 7, 'sport': 79, 'ekonomika': 11}, New Links: 374
URL: https://www.idnes.cz/hokej/ms-2025, Keywords: {'politika': 0, 'sport': 86, 'ekonomika': 6}, New Links: 230
URL: https://www.idnes.cz/cestovani/po-cesku/hotely-pouze-pro-dospele-adult-only-dovolena-odpocinek-rodice-deti.A241209_111453_po-cesku_hig, Keywords: {'politika': 0, 'sport': 26, 'ekonomika': 6}, New Links: 252
URL: https://www.metro.cz/praha/jiri-kara-slavny-opilec-a-hrdina-prvniho-viralu-v-cesku-se-vraci.A191202_101528_metro-praha_hyr, Keywords: {'politika': 0, 'sport': 0, 'ekonomika': 0}, New Links: 80
URL: https://www.idnes.cz/wiki/obecne/vanocni-trhy.K5073569, Keywords: {'politika': 9, 'sport': 31, 'ekonomika': 18}, New Links: 280
URL: https://www.idnes.cz/rss, Keywords: {'politika': 6, 'sport': 31, 'ekonomika': 15}, New Links: 255
URL: https://www.idnes.cz/hradec-kralove/zpravy/test-vanocni-trhy-hradec-kralove-kluziste-kyvadlova-doprava-svarak.A231211_040413_hradec-zpravy_the, Keywords: {'politika': 6, 'sport': 32, 'ekonomika': 5}, New Links: 238
URL: https://www.idnes.cz/magaziny, Keywords: {'politika': 6, 'sport': 31, 'ekonomika': 8}, New Links: 403
URL: https://www.idnes.cz/karlovy-vary, Keywords: {'politika': 7, 'sport': 33, 'ekonomika': 12}, New Links: 260
