URL: https://www.idnes.cz/, Keywords: {'politika': 0, 'sport': 94, 'ekonomika': 21}, New Links: 438
URL: https://www.jobdnes.cz/#utm_source=sph.idnes&utm_medium=text&utm_content=navigace-dalsi, Keywords: {'politika': 0, 'sport': 4, 'ekonomika': 2}, New Links: 114
URL: https://www.expres.cz/video, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 37
URL: https://www.idnes.cz/premium?zdroj=menu, Keywords: {'politika': 0, 'sport': 42, 'ekonomika': 3}, New Links: 236
URL: https://www.expres.cz/video/celebrity, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 37
URL: https://www.idnes.cz/zpravy/domaci/vilem-dusan-lambl-uplavice-srdecni-chlopen-nemcova-lekar.A241218_172226_domaci_vals, Keywords: {'politika': 7, 'sport': 25, 'ekonomika': 8}, New Links: 252
URL: https://www.expres.cz/video, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 37
URL: https://www.expres.cz/video/celebrity/le-sy-a-jeho-parnterka-denisa-z-clashe-plavou-mezi-zraloky-na-maledivach.V241213_102458_denniexpres-video_lare, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 35
URL: https://www.idnes.cz/wiki/obecne/migrace.K5000041, Keywords: {'politika': 12, 'sport': 29, 'ekonomika': 19}, New Links: 259
URL: https://www.expres.cz/video/celebrity, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 37
URL: https://www.expres.cz/video/celebrity, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 37
URL: https://www.expres.cz/video/celebrity/jana-paulova-stardance-rozhovor.V241215_161607_denniexpres-video_haku, Keywords: {'politika': 0, 'sport': 2, 'ekonomika': 0}, New Links: 35
